page_id,page_name,disclaimer,amount_spent_pen,number_of_ads
101665683225827,José Luna Gálvez - Pepe Luna,Mery Nataly Gonzales Enriquez,3287448,712
101665683225827,José Luna Gálvez - Pepe Luna,Laidy Diana Peceros Espinoza,1004610,181
101816778261420,Piensa.pe,Piensa.pe,885831,444
566970220173238,Podemos Perú,Mery Nataly Gonzales Enriquez,738945,336
643403425797969,Yo apoyo a Pepe Luna,Mery Nataly Gonzales Enriquez,382587,168
106854614088402,Pepe Luna Morales,Mery Nataly Gonzales Enriquez,296113,70
566970220173238,Podemos Perú,Laidy Diana Peceros Espinoza,279291,70
317113615022843,César Acuña,Cesar Acuña Peralta,219627,84
106854614088402,Pepe Luna Morales,Jose Luis Luna Morales,184441,28
317113615022843,César Acuña,Silvia Lourdes Miñano Guevara,134223,68
142062936237878,Goberna,Goberna,118230,1871
106854614088402,Pepe Luna Morales,Laidy Diana Peceros Espinoza,115985,19
643403425797969,Yo apoyo a Pepe Luna,Laidy Diana Peceros Espinoza,101150,20
1470976356522933,Daniel Urresti,Jose Luis Urresti Eguiluz,100144,196
100330785132565,Saca tu cuenta,Saca tu Cuenta,99809,150
1470976356522933,Daniel Urresti,Diana Huancaya Matos,87003,105
101311221694306,Nil Luna,Laidy Diana Peceros Espinoza,74237,23
2271299249773092,Asociación de Contribuyentes del Perú,Asociación de Contribuyentes del Perú,70996,165
233943790279421,Jaime Salomón,Jaime Salomón,56665,93
112755042067857,Instituto Peruano de Economía - IPE,Instituto Peruano de Economía - IPE,56530,86
264223880347121,Lampadia Oficial,LAMPADIA,54269,697
111470355596678,ONPE Oficina Nacional de Procesos Electorales - Perú,Oficina Nacional de Procesos Electorales,51140,40
2263394060603974,SER PRO,SER PRO,48556,61
106968764921490,Progresa Perú,These ads ran without a disclaimer,46463,50
109981635701896,Yonhy Lescano,Alavista Marketing Digital,45840,121
433251497093145,Dina Calle,Ronald Briceño,44983,34
119723768043679,Grupo Verona,Giovanni Domenico Verona Baluarte,42967,491
291182786595,Keiko Sofia Fujimori Higuchi,Fuerza Popular,42533,16
432950953564544,Pancho Massa,Francisco Massa,39634,197
107507580716294,Leslye Lazo,Ivette Paola Mendoza Hurtado,39353,36
1511419165829924,Jose Vega,Angel Vladimir Vega Escudero,38572,150
115014573270088,Aron Espinoza,Ronald Briceño,37820,42
462790453744032,Sutep,Sindicato Unitario de Trabajadores en la Educación del Perú - SUTEP,35616,1909
105203064753110,David Jiménez Heredia,Jefferson Henry Lazo Canto,35434,203
106417418305803,Exíge-te Perú,Exige-te Perú,33370,26
106854614088402,Pepe Luna Morales,Podemos Perú,32066,12
129936434473,George Forsyth,Victoria Nacional,31960,126
103215578466089,Datalimon,Ian Paul Brossard Nuñez,30268,91
232608494179327,Rafael Santos Normand,Miguel Angel Torobeo Tapia,29931,23
109019574560600,Aula Gaceta,Ximena Lizbeth Paz Garcia,29911,16
101665683225827,José Luna Gálvez - Pepe Luna,Jhonatan Alfredo Flores Cuya,29649,4
111756757285776,Laidy Peceros,Laidy Diana Peceros Espinoza,28201,14
103807051866147,Pormifamilia,GO Digital,27107,77
101382064633453,Maricarmen Alva,Maria Del Carmen Alva Prieto,26126,55
103899138320288,Jouliano Seminario,Jouliano Segundo Seminario Porras,25875,100
484861495269792,Edgard Cayotopa - Acción Popular,AUGE GROUP CORPORATION SAC,25284,14
495706950531442,Pepe Feria,Jose Praxedes Feria Madrid,24349,72
257921784254554,UNICEF Perú,These ads ran without a disclaimer,24301,52
507219639352019,Botica Magistral Firstmed Pharma,These ads ran without a disclaimer,24081,2
1909864829076011,Prensa AntiCorrupción,Prensa Anticorrupción Latam,23555,14
319686004790789,Maestrías ESAN,Grupo P - INDEX,22350,114
347092853043893,Perú Libre - Pedro Castillo,Oficina Nacional de Procesos Electorales,21575,7
47446118027,Ollanta Humala Tasso,Lady Johanna Bermudez Lopez,21555,64
251694484848356,Progresista de Apurímac,Progresista de Apurímac,21502,322
793399240790250,Antony Pinedo,Antony Pinedo,20985,87
610541935945465,FH PERU,FH Perú,20954,232
109614831277046,Unidos por un Perú mejor,Unidos por un Perú Mejor,20570,46
114450806989403,El Importador,Guido Vicente Bellido Huarcaya,20124,41
121135514583662,World Vision Perú,World Vision Perú,20013,42
729149373915986,Rextie,Rextie,19688,222
657005737775582,Heidy Juárez Calle,Heidy Juárez Calle,19100,85
