page_id,page_name,number_of_ads,amount_spent_pen
101816778261420,Piensa.pe,475,892669.0
106854614088402,Pepe Luna Morales,139,636539.0
643403425797969,Yo apoyo a Pepe Luna,189,485763.0
142062936237878,Goberna,1900,118821.0
100330785132565,Saca tu cuenta,154,100259.0
101311221694306,Nil Luna,33,85179.0
2271299249773092,Asociación de Contribuyentes del Perú,165,70996.0
233943790279421,Jaime Salomón,134,62431.0
112755042067857,Instituto Peruano de Economía - IPE,101,58357.0
264223880347121,Lampadia Oficial,715,54672.0
111470355596678,ONPE Oficina Nacional de Procesos Electorales - Perú,40,51140.0
2263394060603974,SER PRO,65,51131.0
106968764921490,Progresa Perú,50,46463.0
107507580716294,Leslye Lazo,40,43870.0
119723768043679,Grupo Verona,498,43473.0
432950953564544,Pancho Massa,203,39764.0
462790453744032,Sutep,2021,38199.0
115014573270088,Aron Espinoza,43,38086.0
109019574560600,Aula Gaceta,23,35239.0
106417418305803,Exíge-te Perú,26,33370.0
103215578466089,Datalimon,91,30268.0
111756757285776,Laidy Peceros,14,28201.0
103807051866147,Pormifamilia,77,27107.0
495706950531442,Pepe Feria,82,26929.0
103899138320288,Jouliano Seminario,108,26144.0
484861495269792,Edgard Cayotopa - Acción Popular,14,25284.0
257921784254554,UNICEF Perú,52,24301.0
507219639352019,Botica Magistral Firstmed Pharma,2,24081.0
1909864829076011,Prensa AntiCorrupción,14,23555.0
319686004790789,Maestrías ESAN,114,22350.0
251694484848356,Progresista de Apurímac,324,21678.0
793399240790250,Antony Pinedo,87,20985.0
610541935945465,FH PERU,232,20954.0
109614831277046,Unidos por un Perú mejor,46,20570.0
105776167573398,Gestión Pública & Control,18,20157.0
167878593236712,UNICEF en español,76,20141.0
114450806989403,El Importador,41,20124.0
121135514583662,World Vision Perú,42,20013.0
729149373915986,Rextie,222,19688.0
169154336444354,Pancho Diez-Canseco,52,18931.0
109101387687973,Piensa Música,7,18931.0
120608763182000,José Henrry Flores Díaz,43,18442.0
107378318175855,Votopormipaís,31,17721.0
1413556535603177,Raúl Díaz Pérez,183,17632.0
140765589379192,Pedro Spadaro,101,17612.0
116937091779490,Jóvenes Fuerza Popular Keiko,6,17516.0
1533235346996708,Wilmer Valverde,94,17303.0
362634630565676,Soy Eduardo Caprile,53,17204.0
108008647768570,Luis Hurtado Valencia,82,17124.0
133644486670469,JustoMedio,32,16720.0
111742210321219,Julio Sal y Rosas Guerrero,130,16397.0
103105511704815,Freddy Aréstegui Saavedra,91,16313.0
108143704453362,Shadia al Congreso,51,16215.0
103332505036849,Deborah Inga Zapata,28,15983.0
482342095243763,Lucho Molina - Lima,89,15924.0
687691121319854,Ernesto Álvarez Miranda,166,15402.0
104883417709021,Robinson Gupioc,50,15182.0
100386664728880,Ernesto Zunini,11,15131.0
109789794548552,Juan Matzumura,69,14973.0
1629211737145398,Dr. José Carlos Ordoñez,215,14538.0
103770648368639,Konnie Vidaurre,68,14314.0
102673481661276,Jorge Seminario,49,13822.0
111816763739659,Digital TV Noticias,10,13711.0
110695024106209,Juventud Podemos Perú,6,13432.0
317875174912143,Presidencia del Consejo de Ministros del Perú,7,13348.0
297909224081530,Despierta Perú,6,13187.0
143175009597452,Iván Hernández,137,13046.0
678043585730804,"Ceprebanko - Certificación ""Cajero Bancario y Comercial""",13,12924.0
111080984768518,Oscar León,73,12814.0
721209661258478,Felipe Castillo,150,12614.0
121759302958701,René Chávez - El Médico del Pueblo,82,12475.0
113162141028968,Integridad,144,12245.0
102098544497318,Alfredo Perez Alcalde 2023,72,11977.0
325409054278267,Manolo Praeli,457,11869.0
404055736443363,Julián Palacín,91,11779.0
453889284779859,Tony Angulo,62,11598.0
100649128244355,Miguel Pérez-Política y Social,59,11493.0
1430609120516628,Gorbak Infantes,49,11491.0
1538852096428300,Maritza Gil,323,11408.0
100198778518392,Mg. Luis Gallardo Gálvez,20,11337.0
501738560237334,San Juan de Lurigancho Sin Corrupción,6,10488.0
21325533991,Inversor Global,14,10484.0
1694440714197793,Pepe Gálvez el Oso,167,10325.0
107202871320408,Jorge Chávez Alvarez,23,10286.0
162880980862726,Red Hat,2,10254.0
319749898114045,Jackpot Party Casino Community,3,10112.0
108198570574884,Gustavo Cesti Cardó,57,10033.0
173144229408518,RENIECPERU,14,9996.0
531332587225016,Podemos Perú - Piura,3,9848.0
2123223541294131,APP Región La Libertad,138,9650.0
103029921716893,Juan Valverde,191,9642.0
102138138335502,Pepe Pozo al Congreso,32,9607.0
109192677992923,Elige tu Lucha,242,9551.0
1193751930654464,Romelia Paredes,19,9542.0
104628238147151,Sergio Vasquez Coronado,34,9525.0
101892898786829,Despierta Perú,1,9485.0
34839376970,Infobae,16,9431.0
242212052635794,Fernando Meléndez,67,9319.0
133074956714225,Jurado Nacional de Elecciones del Perú,17,9249.0
196175927619103,Perú sin Censura,5,9205.0
100667365286868,Asceli Rabasa 10,42,9053.0
102016708354878,Jeri Ramon Ruffner,57,8999.0
2155897354682813,Justicia sin corrupción,3,8929.0
116832580445194,PerúCheck,8,8855.0
214114562821852,Noizz App,5,8780.0
161170137278613,Banco de Crédito BCP,2,8737.0
478791792232903,Daniel Malpartida,26,8631.0
1573884479501568,Frank Krklec,4,8494.0
149345658977441,Quinto Poder,80,8451.0
106180834755385,Donald Torrico Mostajo,83,8433.0
192928358020129,Carlos Calderon - Alcalde de Trujillo,67,8429.0
109735297111847,Noticias Perú Digital,5,8274.0
461756940672455,Ashanti Perú - Red Peruana de Jóvenes Afrodescendientes,35,8242.0
103218915010607,elprofearanda18,19,8129.0
117001009126,PROMSEX,85,8084.0
1392040064393275,RUBÉN CANO,69,8033.0
165837734193099,Pedro Morales Miranda,36,7911.0
319226058479847,El Gallo Gronerth,101,7794.0
