,page_id,page_name,amount_spent_pen
0,101665683225827,José Luna Gálvez - Pepe Luna,3287448
1,101665683225827,José Luna Gálvez - Pepe Luna,1004610
2,101816778261420,Piensa.pe,885831
3,566970220173238,Podemos Perú,738945
4,643403425797969,Yo apoyo a Pepe Luna,382587
5,106854614088402,Pepe Luna Morales,296113
6,566970220173238,Podemos Perú,279291
7,317113615022843,César Acuña,219627
8,106854614088402,Pepe Luna Morales,184441
9,317113615022843,César Acuña,134223
10,142062936237878,Goberna,118230
11,106854614088402,Pepe Luna Morales,115985
12,643403425797969,Yo apoyo a Pepe Luna,101150
13,1470976356522933,Daniel Urresti,100144
14,100330785132565,Saca tu cuenta,99809
15,1470976356522933,Daniel Urresti,87003
16,101311221694306,Nil Luna,74237
17,2271299249773092,Asociación de Contribuyentes del Perú,70996
18,233943790279421,Jaime Salomón,56665
19,112755042067857,Instituto Peruano de Economía - IPE,56530
20,264223880347121,Lampadia Oficial,54269
21,111470355596678,ONPE Oficina Nacional de Procesos Electorales - Perú,51140
22,2263394060603974,SER PRO,48556
23,106968764921490,Progresa Perú,46463
24,109981635701896,Yonhy Lescano,45840
25,433251497093145,Dina Calle,44983
26,119723768043679,Grupo Verona,42967
27,291182786595,Keiko Sofia Fujimori Higuchi,42533
28,432950953564544,Pancho Massa,39634
29,107507580716294,Leslye Lazo,39353
30,1511419165829924,Jose Vega,38572
31,115014573270088,Aron Espinoza,37820
32,462790453744032,Sutep,35616
33,105203064753110,David Jiménez Heredia,35434
34,106417418305803,Exíge-te Perú,33370
35,106854614088402,Pepe Luna Morales,32066
36,129936434473,George Forsyth,31960
37,103215578466089,Datalimon,30268
38,232608494179327,Rafael Santos Normand,29931
39,109019574560600,Aula Gaceta,29911
40,101665683225827,José Luna Gálvez - Pepe Luna,29649
41,111756757285776,Laidy Peceros,28201
42,103807051866147,Pormifamilia,27107
43,101382064633453,Maricarmen Alva,26126
44,103899138320288,Jouliano Seminario,25875
45,484861495269792,Edgard Cayotopa - Acción Popular,25284
46,495706950531442,Pepe Feria,24349
47,257921784254554,UNICEF Perú,24301
48,507219639352019,Botica Magistral Firstmed Pharma,24081
49,1909864829076011,Prensa AntiCorrupción,23555
50,319686004790789,Maestrías ESAN,22350
51,347092853043893,Perú Libre - Pedro Castillo,21575
52,47446118027,Ollanta Humala Tasso,21555
53,251694484848356,Progresista de Apurímac,21502
54,793399240790250,Antony Pinedo,20985
55,610541935945465,FH PERU,20954
56,109614831277046,Unidos por un Perú mejor,20570
57,114450806989403,El Importador,20124
58,121135514583662,World Vision Perú,20013
59,729149373915986,Rextie,19688
60,657005737775582,Heidy Juárez Calle,19100
61,169154336444354,Pancho Diez-Canseco,18931
62,101665683225827,José Luna Gálvez - Pepe Luna,18573
63,167878593236712,UNICEF en español,18543
64,120608763182000,José Henrry Flores Díaz,18442
65,105776167573398,Gestión Pública & Control,18407
66,107378318175855,Votopormipaís,17721
67,116937091779490,Jóvenes Fuerza Popular Keiko,17210
68,109101387687973,Piensa Música,17024
69,108008647768570,Luis Hurtado Valencia,16921
70,362634630565676,Soy Eduardo Caprile,16603
71,133644486670469,JustoMedio,16575
72,103105511704815,Freddy Aréstegui Saavedra,16313
73,111742210321219,Julio Sal y Rosas Guerrero,16276
74,103332505036849,Deborah Inga Zapata,15983
75,108143704453362,Shadia al Congreso,15910
76,1533235346996708,Wilmer Valverde,15683
77,351653851127,Nano Guerra,15289
78,687691121319854,Ernesto Álvarez Miranda,15160
79,102888608247795,Alejandro Cavero,15032
80,109789794548552,Juan Matzumura,14973
81,100386664728880,Ernesto Zunini,14900
82,1629211737145398,Dr. José Carlos Ordoñez,14538
83,362423643572,Alberto Beingolea,14536
84,140765589379192,Pedro Spadaro,14281
85,103770648368639,Konnie Vidaurre,14203
86,1470976356522933,Daniel Urresti,13817
87,102673481661276,Jorge Seminario,13711
88,111816763739659,Digital TV Noticias,13711
89,317875174912143,Presidencia del Consejo de Ministros del Perú,13348
90,1511419165829924,Jose Vega,13252
91,297909224081530,Despierta Perú,13187
92,110695024106209,Juventud Podemos Perú,13119
93,143175009597452,Iván Hernández,13046
94,678043585730804,"Ceprebanko - Certificación ""Cajero Bancario y Comercial""",12924
95,482342095243763,Lucho Molina - Lima,12779
96,721209661258478,Felipe Castillo,12614
97,121759302958701,René Chávez - El Médico del Pueblo,12475
98,113162141028968,Integridad,12013
99,404055736443363,Julián Palacín,11664
100,111080984768518,Oscar León,11613
101,808315139283273,Roberto Sánchez,11600
102,453889284779859,Tony Angulo,11598
103,100649128244355,Miguel Pérez-Política y Social,11493
104,1430609120516628,Gorbak Infantes,11491
105,1538852096428300,Maritza Gil,11408
106,325409054278267,Manolo Praeli,10957
107,101311221694306,Nil Luna,10750
108,501738560237334,San Juan de Lurigancho Sin Corrupción,10488
109,21325533991,Inversor Global,10484
110,1694440714197793,Pepe Gálvez el Oso,10325
111,107202871320408,Jorge Chávez Alvarez,10286
112,162880980862726,Red Hat,10254
113,319749898114045,Jackpot Party Casino Community,10112
114,108198570574884,Gustavo Cesti Cardó,10033
115,964277866947393,Diego Bazán Calderón,10028
116,699489483476556,Darwin Espinoza Vargas,10005
117,531332587225016,Podemos Perú - Piura,9848
118,103029921716893,Juan Valverde,9642
119,102138138335502,Pepe Pozo al Congreso,9607
120,104883417709021,Robinson Gupioc,9552
121,109192677992923,Elige tu Lucha,9551
122,1193751930654464,Romelia Paredes,9542
123,104628238147151,Sergio Vasquez Coronado,9525
124,101892898786829,Despierta Perú,9485
125,1607614952838589,Mary Acuña al Congreso,9484
126,34839376970,Infobae,9431
127,242212052635794,Fernando Meléndez,9319
128,196175927619103,Perú sin Censura,9205
