id,ad_creation_time,ad_creative_bodies,ad_delivery_start_time,ad_delivery_stop_time,bylines,currency,spend,estimated_audience_size,impressions,page_id,page_name,publisher_platforms
620545592585395,2022-07-26,"['#SeguiremosCumpliendo✅ | Recorrimos muchos colegios, ollas comunes, sectores populares, comisarías y familias más vulnerables, para fiscalizar sus sectores y representar sus demandas, a través de campañas sociales. ¡Somos #UnCongresoParaTodos! 🇵🇪']",2022-07-26,2022-07-31,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '1000', 'upper_bound': '1499'}",{'lower_bound': '1000001'},"{'lower_bound': '150000', 'upper_bound': '174999'}",101382064633453,Maricarmen Alva,"['facebook', 'instagram']"
379245194342186,2022-07-23,['🚨COSAS QUE DEBES SABER DE LA MASIFICACIÓN DEL GAS.\n\n💻Es importante que la ciudadanía sepa algunos alcances del Proyecto de ley y el beneficio que van obtener miles  de peruanos. La información esta en la infografía a continuación 👇\n\n#comisióndeenergíayminas\n#EnriqueAlva\n#Adelante'],2022-07-23,2022-07-26,Ruber Jhans Arca Valera,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '5000', 'upper_bound': '5999'}",101645565076595,Enrique Alva,"['facebook', 'instagram']"
429029509240127,2022-07-21,"['#SeguiremosCumpliendo | ¡Logramos el financiamiento de las más de 3,500 ollas comunes! Durante mi gestión impulsamos la ley #31458, con el que miles de peruanos podrán parar la olla de sus familias. ¡Tengan por seguro que seguiré trabajando por ellos! 🇵🇪']",2022-07-22,2022-07-28,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '400', 'upper_bound': '499'}",{'lower_bound': '1000001'},"{'lower_bound': '80000', 'upper_bound': '89999'}",101382064633453,Maricarmen Alva,"['facebook', 'instagram']"
5246110108834786,2022-07-20,"['#SeguiremosCumpliendo | Desde que asumí la presidencia del Congreso hemos luchado por defender la democracia y el equilibrio de poderes. Tengan por seguro que lo seguiré defendiendo, hasta con la vida, si fuera necesario. 🇵🇪']",2022-07-21,2022-07-27,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '300', 'upper_bound': '399'}",{'lower_bound': '1000001'},"{'lower_bound': '80000', 'upper_bound': '89999'}",101382064633453,Maricarmen Alva,"['facebook', 'instagram']"
374470074828014,2022-07-19,"['#SeguiremosCumpliendo | ¡Recogimos las necesidades de 12 regiones, y lo seguiremos haciendo! Durante este año de gestión, hemos llegado a lugares donde el Congreso nunca antes había llegado. Mi prioridad como congresista seguirá siendo el trabajo descentralizado, recorriendo #PuebloPorPueblo. 🇵🇪']",2022-07-20,2022-07-26,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '300', 'upper_bound': '399'}",{'lower_bound': '1000001'},"{'lower_bound': '70000', 'upper_bound': '79999'}",101382064633453,Maricarmen Alva,"['facebook', 'instagram']"
532666865316937,2022-07-15,"['#SeguiremosCumpliendo✅ | ¿Sabías que las ollas comunes son el principal sustento de alimentación para más de 250 mil peruanos? Por ello en mi gestión, el Congreso aprobó la ley #31458, con el cual garantizaremos su financiamiento y su emprendimiento.\n\n📌 Seguiré cumpliendo con la #JusticiaSocial para todos los peruanos. 👉 Conoce más aquí: https://bit.ly/3PmTSz0.']",2022-07-16,2022-07-22,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '300', 'upper_bound': '399'}",{'lower_bound': '1000001'},"{'lower_bound': '60000', 'upper_bound': '69999'}",101382064633453,Maricarmen Alva,"['facebook', 'instagram']"
457825635786733,2022-07-15,"['He luchado tanto para que el proyecto Chavimochic pueda reanudarse y el día de ayer se aprobó con 107 votos a favor “Declarar de interés nacional la reactivación y destrabe del Proyecto Especial Chavimochic en la región La Libertad”. \n\nEs una gran alegría que quiero compartir con todos los liberteños. Vale la pena luchar por las causas justas en favor del desarrollo de nuestra tierra y nuestra gente, este un paso más para seguir adelante con el proyecto. \n\n¡Que viva La Libertad! ¡Adelante!\n\n#Chavimochic\n#EnriqueAlva\n#adelante']",2022-07-15,2022-07-19,Ruber Jhans Arca Valera,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '500001', 'upper_bound': '1000000'}","{'lower_bound': '5000', 'upper_bound': '5999'}",101645565076595,Enrique Alva,"['facebook', 'instagram']"
445567703918450,2022-07-14,"['#SeguiremosCumpliendo | ¡Resultados para todos los peruanos! Ha sido un año difícil, pero juntos hemos logrado cumplir una agenda parlamentaria desde la presidencia del Congreso, la cual que seguiré cumpliendo como congresista.\n\nConoce mi agenda parlamentaria:\n✅ Fiscalización constructiva\n✅ Defensa de la democracia\n✅ Jóvenes en la cancha\n✅ Empoderando mujeres\n✅ Trabajo descentralizado\n✅ Justicia social\n✅ Reactivación económica']",2022-07-14,2022-07-21,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '500', 'upper_bound': '599'}",{'lower_bound': '1000001'},"{'lower_bound': '175000', 'upper_bound': '199999'}",101382064633453,Maricarmen Alva,"['facebook', 'instagram']"
5187752408009035,2022-07-08,"['#Piura | ¡Seguimos la jornada en Tambogrande! Nos encontramos realizando una audiencia pública para recoger las necesidades de agricultura, salud, educación de la población de este sector. Juntos saldremos #Adelante. 🇵🇪\n\n✅Conoce más aquí: https://bit.ly/3yqwwS3']",2022-07-09,2022-07-15,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '300', 'upper_bound': '399'}",{'lower_bound': '1000001'},"{'lower_bound': '90000', 'upper_bound': '99999'}",101382064633453,Maricarmen Alva,"['facebook', 'instagram']"
5392132847514581,2022-07-05,"['#SemanaDeRepresentación \n▶️ 𝙇𝙄𝘽𝙍𝙊𝙎 𝙂𝙀𝙎𝙏𝙄𝙊𝙉𝘼𝘿𝙊𝙎 𝘼𝙉𝙏𝙀 𝙇𝘼 𝘽𝙄𝘽𝙇𝙄𝙊𝙏𝙀𝘾𝘼 𝘿𝙀𝙇 𝘾𝙊𝙉𝙂𝙍𝙀𝙎𝙊, 𝙎𝙊𝙉 𝙀𝙉𝙏𝙍𝙀𝙂𝘼𝘿𝙊𝙎  𝘼 𝙇𝘼 𝙄.𝙀.𝙎. 𝙈𝘼𝙍𝙄𝘼 𝘼𝙎𝙐𝙉𝘾𝙄Ó𝙉 𝙂𝘼𝙇𝙄𝙉𝘿𝙊 - 𝙅𝙐𝙇𝙄 ◀️\n\n#PuebloPorPueblo\n#MasivaParticipación\n#multitudinariaasistencia\n\n👉La gran familia educativa de la I.E.S. María Asunción Galindo – Juli, (Secundaria) en una ceremonia especial nos recibieron multitudinariamente, con la finalidad de hacer la entrega en calidad de donación de los libros y textos gestionados ante la Biblioteca del Congreso de la República y el Fondo Editorial del Congreso de la República. \n\n👉 La donación que se realizó fue bajo el siguiente detalle: 200 titulos, 210 volumenes, (173 libros + 30 folletos +7 CD-ROM) y 24 libros (obras)\n\n👉Por otro lado, de acuerdo a nuestro anuncio, continuaremos apoyando a toda la comunidad educativa con el fin de contribuir con la mejora de la educación de los estudiantes.\n\n➖Arq. JORGE LUIS FLORES ANCACHI\n➖Congresista de la República.\n\n#JorgeFloresSiTrabaja    \n#HonestidadVerdadyTrabajo   \n#AdelanteAcciónPopular']",2022-07-05,2022-07-07,Edgar Octavio Rivera Bolaños,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '2000', 'upper_bound': '2999'}",105794184815690,Jorge Flores Ancachi,"['facebook', 'instagram']"
