,id,ad_creation_time,ad_creative_bodies,ad_delivery_start_time,ad_delivery_stop_time,bylines,currency,spend,estimated_audience_size,impressions,page_id,page_name,publisher_platforms,lower_bound_spend,upper_bound_spend,lower_bound_impressions,upper_bound_impressions,electorales,silencio
56,2036677193151685,2021-07-26,['✅ Congresista electa por #AcciónPopular. ¡Trabajemos juntos y salgamos #Adelante! 🇵🇪'],2021-07-26,2021-07-29,Rogger Alba Arbieto,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '9000', 'upper_bound': '9999'}",101382064633453,Maricarmen Alva,['facebook'],0,99,9000,9999.0,True,False
57,2339418786188233,2021-07-16,['✅ Congresista electa por #AcciónPopular. ¡Trabajemos juntos y salgamos #Adelante! 🇵🇪'],2021-07-16,2021-07-29,Rogger Alba Arbieto,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '8000', 'upper_bound': '8999'}",101382064633453,Maricarmen Alva,['facebook'],0,99,8000,8999.0,True,False
58,332378095047154,2021-06-30,['Congresista electa por Acción Popular. Trabajemos juntos y salgamos ¡Adelante! 🇵🇪'],2021-06-30,2021-07-04,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '1000', 'upper_bound': '1999'}",101382064633453,Maricarmen Alva,['facebook'],0,99,1000,1999.0,True,False
59,4109320782479207,2021-06-30,['Congresista electa por Acción Popular. Trabajemos juntos y salgamos ¡Adelante! 🇵🇪'],2021-06-30,2021-06-30,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '1000', 'upper_bound': '1999'}",101382064633453,Maricarmen Alva,"['facebook', 'instagram']",0,99,1000,1999.0,True,False
60,326588685658664,2021-06-15,"['Congresista electa por Acción Popular. Madre y abogada con más de 20 años de experiencia en el sector público. ¡Saldremos Adelante, Perú! 🇵🇪']",2021-06-15,2021-06-21,Rogger Alba Arbieto,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '3000', 'upper_bound': '3999'}",101382064633453,Maricarmen Alva,['facebook'],0,99,3000,3999.0,True,False
61,508226736874546,2021-05-21,['Congresista electa por Acción Popular. ¡Luchemos juntos para que el Perú salga #Adelante! 🇵🇪'],2021-05-26,2021-05-30,Rogger Alba Arbieto,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '0', 'upper_bound': '999'}",101382064633453,Maricarmen Alva,['facebook'],0,99,0,999.0,True,False
62,729858494355649,2021-04-16,"['LA CARRERA RECIÉN COMIENZA 💪\n\nEstimados correligionarios, amigos y simpatizantes, quiero agradecer el valioso apoyo que han brindado a nuestra campaña al Congreso, debiendo recordar que la campaña ha terminado y que es el momento de unirnos para tomar acciones inmediatas en bien de la patria ya que el verdadero trabajo inicia cuando empecemos a legislar con vocación de servicio.\n\nSólo me queda decir con mucha humildad y compromiso: ¡GRACIAS QUERIDO PUEBLO DE LORETO! \n\n¡VIVA LA DEMOCRACIA, VIVA EL PERÚ! \n\n¡ADELANTE!']",2021-04-16,2021-04-18,Jose Antonio Inuma Torres,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '100001', 'upper_bound': '500000'}","{'lower_bound': '9000', 'upper_bound': '9999'}",115806960260634,Juan Carlos Mori,['facebook'],0,99,9000,9999.0,True,False
63,2519656955010765,2021-04-10,"['#VotoSeguro \n☑️Este domingo de elecciones identifica tu horario de votación, según el último dígito de tu DNI.\n☑️Recuerda usar tu mascarilla, facial, llevar tu lapicero y mantener el distanciamiento entre personas. \n🔺Este 11 de Abril vota seguro escribiendo el N• 1️⃣ de Kike Alva al congreso por La Libertad. \n#LaLibertad #Adelante']",2021-04-10,2021-04-12,Tracy Mayuri Guillen Montalvan,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '500001', 'upper_bound': '1000000'}","{'lower_bound': '30000', 'upper_bound': '34999'}",101645565076595,KikeAlva al Congreso,['facebook'],0,99,30000,34999.0,True,True
64,227833185762638,2021-04-10,"['Este 11 de abril, yo voto por Puno, yo voto por el Perú\n#Lescano ""Presidente del Bicentenario""\nCarlos Zeballos al #Congreso\nMarca las palas y escribe el N° ""5"" 5️⃣🖐']",2021-04-10,2021-04-12,ACCION POPULAR,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '8000', 'upper_bound': '8999'}",112495150229313,Carlos Zeballos,['facebook'],0,99,8000,8999.0,True,True
65,140704197999818,2021-04-10,"['☑️ Soy Kike Alva, ingeniero con más de 30 años al servicio del pueblo y toda mi vida con un solo color partidario: Acción Popular.\n#Adelante\n\n#Adelante #KikeAlvaAlCongreso #YonhyLescanoPresidente']",2021-04-10,2021-04-11,Tracy Mayuri Guillen Montalvan,PEN,"{'lower_bound': '100', 'upper_bound': '199'}",{'lower_bound': '1000001'},"{'lower_bound': '60000', 'upper_bound': '69999'}",101645565076595,KikeAlva al Congreso,['facebook'],100,199,60000,69999.0,True,True
