,id,ad_creation_time,ad_creative_bodies,ad_delivery_start_time,ad_delivery_stop_time,bylines,currency,spend,estimated_audience_size,impressions,page_id,page_name,publisher_platforms,lower_bound_spend,upper_bound_spend,lower_bound_impressions,upper_bound_impressions,electorales,silencio
63,2519656955010765,2021-04-10,"['#VotoSeguro \n☑️Este domingo de elecciones identifica tu horario de votación, según el último dígito de tu DNI.\n☑️Recuerda usar tu mascarilla, facial, llevar tu lapicero y mantener el distanciamiento entre personas. \n🔺Este 11 de Abril vota seguro escribiendo el N• 1️⃣ de Kike Alva al congreso por La Libertad. \n#LaLibertad #Adelante']",2021-04-10,2021-04-12,Tracy Mayuri Guillen Montalvan,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '500001', 'upper_bound': '1000000'}","{'lower_bound': '30000', 'upper_bound': '34999'}",101645565076595,KikeAlva al Congreso,['facebook'],0,99,30000,34999.0,True,True
64,227833185762638,2021-04-10,"['Este 11 de abril, yo voto por Puno, yo voto por el Perú\n#Lescano ""Presidente del Bicentenario""\nCarlos Zeballos al #Congreso\nMarca las palas y escribe el N° ""5"" 5️⃣🖐']",2021-04-10,2021-04-12,ACCION POPULAR,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '8000', 'upper_bound': '8999'}",112495150229313,Carlos Zeballos,['facebook'],0,99,8000,8999.0,True,True
65,140704197999818,2021-04-10,"['☑️ Soy Kike Alva, ingeniero con más de 30 años al servicio del pueblo y toda mi vida con un solo color partidario: Acción Popular.\n#Adelante\n\n#Adelante #KikeAlvaAlCongreso #YonhyLescanoPresidente']",2021-04-10,2021-04-11,Tracy Mayuri Guillen Montalvan,PEN,"{'lower_bound': '100', 'upper_bound': '199'}",{'lower_bound': '1000001'},"{'lower_bound': '60000', 'upper_bound': '69999'}",101645565076595,KikeAlva al Congreso,['facebook'],100,199,60000,69999.0,True,True
66,1864089227101764,2021-04-10,['CONOCE TU LOCAL DE VOTACIÓN Y VERIFICA SI ERES MIEMBRO DE MESA 👇\nAccede al portal habilitado por la ONPE: https://www.consultamiembrodemesa.eleccionesgenerales2021.pe/#/ \nRecuerda este domingo escribir el N° 1 de KIKE ALVA al congreso. \n#Perú #LaLibertad #Adelante'],2021-04-10,2021-04-12,Tracy Mayuri Guillen Montalvan,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '500001', 'upper_bound': '1000000'}","{'lower_bound': '25000', 'upper_bound': '29999'}",101645565076595,Enrique Alva,['facebook'],0,99,25000,29999.0,True,True
67,270013071239231,2021-04-09,"['🚨 ¿Candidata al Congreso de Acción Popular habría sido vacunada? 🚨\n\nSe trataría de Maricarmen Alva, candidata al Congreso con el número 2 de Acción Popular.']",2021-04-09,2021-04-10,Maria Del Carmen Alva Prieto,PEN,"{'lower_bound': '300', 'upper_bound': '399'}",{'lower_bound': '1000001'},"{'lower_bound': '35000', 'upper_bound': '39999'}",101382064633453,Maricarmen Alva,"['facebook', 'instagram']",300,399,35000,39999.0,True,True
68,1789519624556580,2021-04-09,"['Desde el Congreso de la República impulsaré un nuevo CTS para todos, no debe faltar comida, trabajo y salud a nuestras familias peruanas.\n\nEste 11 de abril marca las #lampas de Acción Popular y escribe el 1️⃣ por un Perú mejor 🇵🇪\n\n#LescanoPresidente\n#ArriolaAlCongreso\n#MarcaLasLampas\n#EscribeEl1']",2021-04-09,2021-04-11,Jimmy Maykol Orosco Aponte,PEN,"{'lower_bound': '200', 'upper_bound': '299'}","{'lower_bound': '100001', 'upper_bound': '500000'}","{'lower_bound': '15000', 'upper_bound': '19999'}",106626904612831,José Arriola - Congresista de la República,"['facebook', 'instagram']",200,299,15000,19999.0,True,True
69,202057138300263,2021-04-09,"['Los jóvenes necesitan ser mejor preparados, mejores campos laborales y obtener mejores salarios. Acción Popular lo hará posible. \n\n¡Desde el Congreso de la República defenderé al Pueblo!\n\nEste 11 de abril marca las #Lampas y escribe el 1️⃣ por un Perú mejor 🇵🇪']",2021-04-09,2021-04-10,Jimmy Maykol Orosco Aponte,PEN,"{'lower_bound': '100', 'upper_bound': '199'}",{'lower_bound': '1000001'},"{'lower_bound': '15000', 'upper_bound': '19999'}",106626904612831,José Arriola - Congresista de la República,"['facebook', 'instagram']",100,199,15000,19999.0,True,True
70,4392054040822233,2021-04-09,"['La alimentación es un factor importante para el desarrollo del ser humano, además reduce los riesgos que influyen en la aparición de enfermedades. Es por ello que desde el Congreso de la República trabajaré por el incremento de presupuesto para los Vasos de Leche y Comedores Populares de todo el país. Necesitamos niños mejor alimentados y libres de anemia. \n\n#LescanoPresidente\n#ArriolaAlCongreso\n#MarcaLasLampas\n#EscribeEl1']",2021-04-09,2021-04-10,Jimmy Maykol Orosco Aponte,PEN,"{'lower_bound': '300', 'upper_bound': '399'}",{'lower_bound': '1000001'},"{'lower_bound': '35000', 'upper_bound': '39999'}",106626904612831,José Arriola - Congresista de la República,"['facebook', 'instagram']",300,399,35000,39999.0,True,True
71,491328568574481,2021-04-09,"['¡Es momento de cambiar nuestro Perú! 🇵🇪 \n\nNecesitamos personas firmes y libres de corrupción.\n\nEste 11 de abril marca las lampas de Acción Popular, Yonhy Lescano presidente y José Arriola al congreso, por un Perú mejor para todos. \n\n#LescanoPresidente\n#ArriolaAlCongreso\n#MarcaLasLampas\n#EscribeEl1']",2021-04-10,2021-04-10,Jimmy Maykol Orosco Aponte,PEN,"{'lower_bound': '200', 'upper_bound': '299'}",{'lower_bound': '1000001'},"{'lower_bound': '30000', 'upper_bound': '34999'}",106626904612831,José Arriola - Congresista de la República,"['facebook', 'instagram']",200,299,30000,34999.0,True,True
72,2590208854603684,2021-04-09,"['☑️ Ya sabes, este 11 de abril marca las palanas de Acción Popular y escribe el nro. 1 para llegar al Congreso. Cuento con tu apoyo y junto a Yonhy Lescano trabajaremos por todos los peruanos. \n\n#Adelante #KikeAlva #YonhyLescanoPresidente #KikeAlvaAlCongreso #AcciónPopular']",2021-04-09,2021-04-12,Tracy Mayuri Guillen Montalvan,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '500001', 'upper_bound': '1000000'}","{'lower_bound': '45000', 'upper_bound': '49999'}",101645565076595,Enrique Alva,['facebook'],0,99,45000,49999.0,True,True
