page_id,nombre_pagina,cargo,partido_politico,region
102752745191663,Acción Popular,presidenciales,Acción Popular,Perú
335426529868856,Alianza para el Progreso,presidenciales,Alianza para el Progreso,Perú
232188977145934,Avanza País,presidenciales,Avanza País,Perú
334049480112220,Frente Amplio,presidenciales,Frente Amplio,Perú
366881826717685,Fuerza Popular,presidenciales,Fuerza Popular,Perú
1743600112331646,Juntos por el Perú,presidenciales,Juntos por el Perú,Perú
621812997939276,Partido Morado,presidenciales,Partido Morado,Perú
175177319173251,Partido Nacionalista Peruano,presidenciales,Partido Nacionalista Peruano,Perú
110311817537159,Perú Libre,presidenciales,Perú Libre,Perú
566970220173238,Podemos Perú,presidenciales,Podemos Perú,Perú
426234550737798,Renovación Popular,presidenciales,Renovación Popular,Perú
1488972961320300,Somos Perú,presidenciales,Somos Perú,Perú
103702594775745,Victoria Nacional,presidenciales,Victoria Nacional,Perú
109981635701896,Yonhy Lescano,presidenciales,Acción Popular,Perú
317113615022843,César Acuña,presidenciales,Alianza para el Progreso,Perú
1894775740751117,Hernando de Soto,presidenciales,Avanza País,Perú
501281283413954,Andrés Alcántara,presidenciales,Democracia Directa,Perú
1404931296419229,Marco Arana,presidenciales,Frente Amplio,Perú
291182786595,Keiko Fujimori,presidenciales,Fuerza Popular,Perú
274611865891177,Verónika Mendoza,presidenciales,Juntos por el Perú,Perú
1574929139448723,Julio Guzmán,presidenciales,Partido Morado,Perú
47446118027,Ollanta Humala,presidenciales,Partido Nacionalista Peruano,Perú
362423643572,Alberto Beingolea,presidenciales,Partido Popular Cristiano,Perú
347092853043893,Pedro Castillo,presidenciales,Perú Libre,Perú
232608494179327,Rafael Santos,presidenciales,Perú Patria Segura,Perú
1470976356522933,Daniel Urresti,presidenciales,Podemos Perú,Perú
1497191137239067,Ciro Gálvez,presidenciales,Renacimiento Unido Nacional,Perú
102585367941782,Rafael López Aliaga,presidenciales,Renovación Popular,Perú
769281846555710,Daniel Salaverry,presidenciales,Somos Perú,Perú
1511419165829924,José Vega,presidenciales,Unión por el Perú,Perú
129936434473,George Forsyth,presidenciales,Victoria Nacional,Perú
106626904612831,José Arriola Tueros,congresales,Acción Popular,Lima
106058814812299,Raúl Doroteo Carbajo,congresales,Acción Popular,Ica
101382064633453,María del Carmen Alva Prieto,congresales,Acción Popular,Lima
101645565076595,Carlos Enrique Alva Rojas,congresales,Acción Popular,La Libertad
102121805174324,Elvis Vergara Mendoza,congresales,Acción Popular,Ucayali
105794184815690,Jorge Flores Ancachi,congresales,Acción Popular,Puno
110672924174926,Hilda Marleny Portero López,congresales,Acción Popular,Lambayeque
112495150229313,Carlos Zeballos Madariaga,congresales,Acción Popular,Puno
112798067206595,Pedro Edwin Martínez Talavera,congresales,Acción Popular,Arequipa
115806960260634,Juan Carlos Mori Celis,congresales,Acción Popular,Loreto
1643625532431014,Karol Paredes Fonseca,congresales,Acción Popular,San Martín
1805183599788143,Silvia Monteza Facho,congresales,Acción Popular,Cajamarca
286787798490868,Wilson Soto Palacios,congresales,Acción Popular,Huancavelica
534284396949027,Ilich López Ureña,congresales,Acción Popular,Junín
699489483476556,Darwin Espinoza Vargas,congresales,Acción Popular,Áncash
113857973395461,Luis Ángel Aragón Carreño,congresales,Acción Popular,Cusco
100459418540006,Gladys Echaíz de Núñez Izaga,congresales,Alianza para el Progreso,Lima
103215021752312,Alejandro Soto Reyes,congresales,Alianza para el Progreso,Cusco
106229511442066,Freddy Díaz Monago,congresales,Alianza para el Progreso,Pasco
110810954155580,Roberto Chiabra León,congresales,Alianza para el Progreso,Lima
114696193780931,Idelso García Correa,congresales,Alianza para el Progreso,Piura
115094123730332,Elva Ediht Julon Irigoin,congresales,Alianza para el Progreso,Cajamarca
117498400158090,Segundo Héctor Acuña Peralta,congresales,Alianza para el Progreso,La Libertad
124822717567520,Luis Picón Quedo,congresales,Alianza para el Progreso,Huánuco
129567737568492,Eduardo Salhuana Cavides,congresales,Alianza para el Progreso,Madre de Dios
1607614952838589,Grimaneza Mary Acuña Peralta,congresales,Alianza para el Progreso,Lambayeque
2060520224208376,Lady Camones Soriano,congresales,Alianza para el Progreso,Áncash
218929749041281,Magaly Ruíz Rodríguez,congresales,Alianza para el Progreso,La Libertad
273352179432294,Cheryl Trigozo Reátegui,congresales,Alianza para el Progreso,San Martín
415937438800916,Rosio Torres Salinas,congresales,Alianza para el Progreso,Loreto
657005737775582,Heidy Juárez Calle,congresales,Alianza para el Progreso,Piura
104402974872962,Adriana Tudela Gutiérrez,congresales,Avanza País,Lima
102395645230369,José Williams Zapata,congresales,Avanza País,Lima
102888608247795,Alejandro Cavero Alva,congresales,Avanza País,Lima
105835907510633,Patricia Chirinos Venegas,congresales,Avanza País,Callao
