,lower_bound,lower_bound,upper_bound,upper_bound
currency,PEN,USD,PEN,USD
page_id,,,,
47446118027,22700.0,,31119.0,
129936434473,,7000.0,,25323.0
291182786595,,10900.0,,16084.0
362423643572,13200.0,,20142.0,
102585367941782,1700.0,1700.0,2298.0,2991.0
102752745191663,1200.0,,1497.0,
109981635701896,,9300.0,,23065.0
110311817537159,0.0,,792.0,
232608494179327,0.0,6600.0,198.0,10077.0
274611865891177,4900.0,,6492.0,
317113615022843,259400.0,,328139.0,
334049480112220,0.0,,198.0,
347092853043893,100.0,4900.0,793.0,6393.0
366881826717685,,200.0,,398.0
501281283413954,2100.0,,9525.0,
566970220173238,231700.0,,276445.0,
1470976356522933,118000.0,,149445.0,
1511419165829924,52600.0,,78817.0,
1574929139448723,2100.0,,3787.0,
1894775740751117,100.0,,298.0,
