,id,ad_creation_time,ad_creative_bodies,ad_delivery_start_time,ad_delivery_stop_time,bylines,currency,spend,estimated_audience_size,impressions,page_id,page_name,publisher_platforms,lower_bound_spend,upper_bound_spend,lower_bound_impressions,upper_bound_impressions,electorales,silencio
359,881411509138049,2021-07-23,['📣 𝐄𝐋 𝐃𝐑. 𝐉𝐎𝐒𝐄́ 𝐋𝐔𝐍𝐀 𝐆𝐀́𝐋𝐕𝐄𝐙 𝐒𝐎𝐋𝐎 𝐑𝐄𝐂𝐈𝐁𝐈𝐑𝐀́ 𝐔𝐍 𝐒𝐎𝐋 𝐃𝐄 𝐒𝐔𝐄𝐋𝐃𝐎 𝐀𝐋 𝐌𝐄𝐒'],2021-07-23,2021-07-24,Mery Nataly Gonzales Enriquez,PEN,"{'lower_bound': '1500', 'upper_bound': '1999'}",{'lower_bound': '1000001'},"{'lower_bound': '600000', 'upper_bound': '699999'}",566970220173238,Podemos Perú,"['facebook', 'instagram']",1500,1999,600000,699999.0,True,False
360,578860040155547,2021-07-23,['⭕ Juramentó la nueva bancada del partido del pueblo ¡VIVA EL PERÚ! 🅿️🇵🇪'],2021-07-23,2021-07-24,Mery Nataly Gonzales Enriquez,PEN,"{'lower_bound': '2000', 'upper_bound': '2499'}",{'lower_bound': '1000001'},"{'lower_bound': '600000', 'upper_bound': '699999'}",566970220173238,Podemos Perú,"['facebook', 'instagram']",2000,2499,600000,699999.0,True,False
361,2249184088564514,2021-07-07,"['La #traición al pueblo no se olvida 👊\n😠👉 Este Tribunal Constitucional ha demostrado ser #cómplice de las grandes #MafiasEmpresariales, a quienes les han estado pagando favores en estos últimos meses. Prueba de ello es la deuda de 11 mil millones de soles que le perdonaron a #Telefonica y cómo traicionaron a mis hermanos de la #ONP dejándolos sin su dinero.\n👉 El pueblo nos eligió para #representarlos y #defenderlos de esta clase de funcionarios lobbystas que solo perjudican a la población. No estamos dispuestos a dar un paso atrás, el cambio del TC tiene que ser #AHORA 👇.']",2021-07-07,2021-07-08,Mery Nataly Gonzales Enriquez,PEN,"{'lower_bound': '5000', 'upper_bound': '5999'}",{'lower_bound': '1000001'},"{'lower_bound': '700000', 'upper_bound': '799999'}",566970220173238,Podemos Perú,"['facebook', 'instagram']",5000,5999,700000,799999.0,True,False
362,497178924892458,2021-07-07,"['La #traición al pueblo no se olvida 👊\n😠👉 Este Tribunal Constitucional ha demostrado ser #cómplice de las grandes #MafiasEmpresariales, a quienes les han estado pagando favores en estos últimos meses. Prueba de ello es la deuda de 11 mil millones de soles que le perdonaron a #Telefonica y cómo traicionaron a mis hermanos de la #ONP dejándolos sin su dinero.\n👉 El pueblo nos eligió para #representarlos y #defenderlos de esta clase de funcionarios lobbystas que solo perjudican a la población. No estamos dispuestos a dar un paso atrás, el cambio del TC tiene que ser #AHORA 👇.']",2021-07-07,2021-07-08,Mery Nataly Gonzales Enriquez,PEN,"{'lower_bound': '5000', 'upper_bound': '5999'}",{'lower_bound': '1000001'},{'lower_bound': '1000000'},566970220173238,Podemos Perú,"['facebook', 'instagram']",5000,5999,1000000,,True,False
363,162978599225488,2021-07-06,no disponible,2021-07-06,2021-07-07,Mery Nataly Gonzales Enriquez,PEN,"{'lower_bound': '5000', 'upper_bound': '5999'}",{'lower_bound': '1000001'},{'lower_bound': '1000000'},566970220173238,Podemos Perú,"['facebook', 'instagram']",5000,5999,1000000,,True,False
364,236486524631465,2021-06-20,"['🇵🇪 #FrenteAmplio | Saludamos a los padres que ejercen una paternidad responsable en el campo, ciudad y nuestra amazonía, quienes luchan día a día por salir adelante.\n\nNuestras condolencias a los familiares y homenaje a los padres que perdieron la vida a causa del COVID -19.']",2021-06-20,2021-06-20,no disponible,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '1000', 'upper_bound': '1999'}",334049480112220,Frente Amplio Perú,"['facebook', 'instagram', 'messenger']",0,99,1000,1999.0,True,False
365,3016550575246829,2021-06-12,['#ÚltimoMinuto #OtraPromesaCumplida\n📣 ¡LOS PERUANOS YA NO LOS VAMOS A MANTENER! Logramos quitarle la #mamadera #presidencial a los miserables que #robaron y #traicionaron al #pueblo. Nunca más vivirán del trabajo de todo un #país. \n\n🔵🟡 PODEMOS PERÚ ¡SÍ CUMPLE!'],2021-06-13,2021-06-14,Mery Nataly Gonzales Enriquez,PEN,"{'lower_bound': '5000', 'upper_bound': '5999'}",{'lower_bound': '1000001'},"{'lower_bound': '900000', 'upper_bound': '999999'}",566970220173238,Podemos Perú,"['facebook', 'instagram']",5000,5999,900000,999999.0,True,False
366,777775196235752,2021-06-09,"['La bancada del pueblo agradece la confianza depositada y seguirá luchando e impulsando leyes en favor de los que menos tienen, enfrentándose a los grupos económicos que oprimen a nuestros compatriotas y a todo acto que atente contra la democracia y los derechos de los peruanos. \nPodemos Perú nació para luchar y defender los sagrados intereses del pueblo.\n𝑱𝑶𝑺𝑬 𝑳𝑼𝑵𝑨 𝑮𝑨𝑳𝑽𝑬𝒁 - 𝑷𝑹𝑬𝑺𝑰𝑫𝑬𝑵𝑻𝑬 𝑭𝑼𝑵𝑫𝑨𝑫𝑶𝑹']",2021-06-09,2021-06-11,Laidy Diana Peceros Espinoza,PEN,"{'lower_bound': '5000', 'upper_bound': '5999'}",{'lower_bound': '1000001'},{'lower_bound': '1000000'},566970220173238,Podemos Perú,"['facebook', 'instagram']",5000,5999,1000000,,True,False
367,527684108595729,2021-05-30,no disponible,2021-05-30,2021-05-31,Laidy Diana Peceros Espinoza,PEN,"{'lower_bound': '5000', 'upper_bound': '5999'}",{'lower_bound': '1000001'},{'lower_bound': '1000000'},566970220173238,Podemos Perú,"['facebook', 'instagram']",5000,5999,1000000,,True,False
368,217469256851976,2021-05-25,no disponible,2021-05-25,2021-05-26,Laidy Diana Peceros Espinoza,PEN,"{'lower_bound': '5000', 'upper_bound': '5999'}",{'lower_bound': '1000001'},{'lower_bound': '1000000'},566970220173238,Podemos Perú,"['facebook', 'instagram']",5000,5999,1000000,,True,False
