,id,ad_creation_time,ad_creative_bodies,ad_delivery_start_time,ad_delivery_stop_time,bylines,currency,spend,estimated_audience_size,impressions,page_id,page_name,publisher_platforms,lower_bound_spend,upper_bound_spend,lower_bound_impressions,upper_bound_impressions,electorales,silencio
379,292965782446415,2021-04-09,"['Compatriotas este 11 de abril apoyanos marcando los 3 ✏️✏️✏️ Lápiz, por un Perú Libre.\n""La patria no se vende, la patria se defiende""\n#PedroCastillo #PeruLibre #Lapiz']",2021-04-09,2021-04-12,Isrrael James Castillo Osorio,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '9000', 'upper_bound': '9999'}",110311817537159,Perú Libre- Pedro Castillo,"['facebook', 'instagram']",0,99,9000,9999.0,True,True
380,654841632139161,2021-04-09,"['✏️ No más pobres, en un país ricos.\nEste 11 de abril apóyanos marcando los 3 ✏️✏️✏️de Perú Libre.\n\n#PedroCastillo #Lapiz #PeruLibre']",2021-04-09,2021-04-10,Isrrael James Castillo Osorio,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '7000', 'upper_bound': '7999'}",110311817537159,Perú Libre- Pedro Castillo,"['facebook', 'instagram']",0,99,7000,7999.0,True,True
382,2946787372276800,2021-04-08,['LA VERDAD SALE A LA LUZ'],2021-04-08,2021-04-10,Mery Nataly Gonzales Enriquez,PEN,"{'lower_bound': '6000', 'upper_bound': '6999'}",{'lower_bound': '1000001'},{'lower_bound': '1000000'},566970220173238,Podemos Perú,"['facebook', 'instagram']",6000,6999,1000000,,True,True
383,903853140402500,2021-04-08,['LA VERDAD SALE A LA LUZ'],2021-04-08,2021-04-10,Mery Nataly Gonzales Enriquez,PEN,"{'lower_bound': '100', 'upper_bound': '199'}",{'lower_bound': '1000001'},"{'lower_bound': '80000', 'upper_bound': '89999'}",566970220173238,Podemos Perú,"['facebook', 'instagram']",100,199,80000,89999.0,True,True
387,1358093657897672,2021-04-07,"['✏️ No más pobres, en un país ricos.\nEste 11 de abril apóyanos marcando los 3 ✏️✏️✏️de Perú Libre.\n\n#PedroCastillo #Lapiz #PeruLibre']",2021-04-07,2021-04-10,Isrrael James Castillo Osorio,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '3000', 'upper_bound': '3999'}",110311817537159,Perú libre Libre- Pedro Castillo,"['facebook', 'instagram']",0,99,3000,3999.0,True,True
392,506887136970325,2021-04-06,"['No va mas allá el problema de la Seguridad Ciudadana.\n✏️ Convocaremos a las Rondas Campesinas, Licenciados de las FF.AA, Reservistas y voluntarios para consolidar una sola fuerza.\n✏️ Trabajos forzados para los presos; Construcción de puentes, carreteras, represas hidrográficas, etc.\n✏️ No más extranjeros asesinos, irresponsables y malcriados.\n\n#PedroCastillo #Lapiz #PeruLibre']",2021-04-06,2021-04-11,Isrrael James Castillo Osorio,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '35000', 'upper_bound': '39999'}",110311817537159,Perú Libre- Pedro Castillo,"['facebook', 'instagram']",0,99,35000,39999.0,True,True
449,335771271503129,2021-06-05,['Mañana se juega el destino de nuestro país. No es una exageración. Acudamos a votar con entusiasmo pensando en que nuestro voto servirá para alejar la amenaza autoritaria. No te quedes en casa. Únete a esta cruzada democrática de votar por el país.\n\n#CruzadaPorElPerú'],2021-06-05,2021-06-06,Cesar Acuña Peralta,PEN,"{'lower_bound': '8000', 'upper_bound': '8999'}",{'lower_bound': '1000001'},{'lower_bound': '1000000'},317113615022843,César Acuña,['facebook'],8000,8999,1000000,,True,True
450,951611035571830,2021-06-05,['Mañana se juega el destino de nuestro país. No es una exageración. Acudamos a votar con entusiasmo pensando en que nuestro voto servirá para alejar la amenaza autoritaria. No te quedes en casa. Únete a esta cruzada democrática de votar por el país.\n\n#CruzadaPorElPerú'],2021-06-05,2021-06-08,Cesar Acuña Peralta,PEN,"{'lower_bound': '2000', 'upper_bound': '2499'}",{'lower_bound': '1000001'},"{'lower_bound': '300000', 'upper_bound': '349999'}",317113615022843,César Acuña,['instagram'],2000,2499,300000,349999.0,True,True
451,314194053516159,2021-06-04,['Hoy estuvimos en Gamarra con los micro y pequeños empresarios de diversos gremios. Gracias por su confianza. ¡Vamos juntos a reactivar nuestra economía! #UnCambioHaciaAdelante'],2021-06-04,2021-06-05,Fuerza Popular,USD,"{'lower_bound': '300', 'upper_bound': '399'}",{'lower_bound': '1000001'},"{'lower_bound': '250000', 'upper_bound': '299999'}",291182786595,Keiko Sofia Fujimori Higuchi,"['facebook', 'instagram']",300,399,250000,299999.0,True,True
469,190942772669460,2021-04-10,"['🟡 ANDRÉS ALCÁNTARA POR EL CAMBIO DE CONSTITUCIÓN VÍA REFERÉNDUM 🟡\n\n🟡 Andrés Alcántara - Presidente 2021 🟡 \n\n🏠 ✍️Por un mejor país, hagamos historia Perú y este 11 de abril marquemos las tres casitas de Democracia Directa. 🏠 ✍️\n\n#HagamosHistoriaPerú #Elecciones2021 #NuevaConstitución #DemocraciaDirecta #AndrésAlcántara #VotoInformado #Voto2021 #VotoResponsable #AndrésPresidente #NuevaConstituciónVíaReferéndum #Politica #Perú #Referendum2021']",2021-04-10,2021-04-11,Ronaldo Jeanpierr Oyola Gomez,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '1000', 'upper_bound': '1999'}",501281283413954,Andrés Alcántara Paredes,"['facebook', 'instagram']",0,99,1000,1999.0,True,True
